date_start,date_stop,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,spend,impressions,reach,clicks,ctr,cpc,cpm,cpp,frequency,actions,actions.onsite_conversion.total_messaging_connection,actions.onsite_conversion.lead,actions.offsite_complete_registration_add_meta_leads,actions.onsite_conversion.messaging_block,actions.omni_purchase,actions.link_click,actions.onsite_app_purchase,actions.page_engagement,actions.onsite_conversion.messaging_welcome_message_view,actions.post_engagement,actions.onsite_conversion.post_save,actions.comment,actions.onsite_web_app_purchase,actions.onsite_conversion.messaging_user_depth_2_message_send,actions.photo_view,actions.offsite_content_view_add_meta_leads,actions.lead,actions.onsite_conversion.messaging_user_depth_3_message_send,actions.onsite_conversion.purchase,actions.offsite_search_add_meta_leads,actions.onsite_conversion.messaging_user_depth_5_message_send,actions.onsite_web_lead,actions.post,actions.onsite_conversion.messaging_first_reply,actions.post_interaction_gross,actions.like,actions.onsite_web_purchase,actions.onsite_conversion.messaging_conversation_started_7d,actions.onsite_conversion.messaging_conversation_replied_7d,actions.onsite_conversion.lead_grouped,actions.post_reaction,actions.offsite_conversion.fb_pixel_custom,actions.landing_page_view,actions.omni_landing_page_view
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225231832600162,[Engagement mess_20.5] DMX_Xayep,120225231832610162,Nhóm quảng cáo Lượt tương tác mới,120225231832590162,Quảng cáo Lượt tương tác mới,15436366,174316,100634,8617,4.943321,1791.385169,88553.925056,153391.160045,1.732178,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '579'}, {'action_type': 'onsite_conversion.lead', 'value': '4'}, {'action_type': 'offsite_complete_registration_add_meta_leads', 'value': '4'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '12'}, {'action_type': 'omni_purchase', 'value': '2'}, {'action_type': 'link_click', 'value': '1825'}, {'action_type': 'onsite_app_purchase', 'value': '2'}, {'action_type': 'page_engagement', 'value': '4955'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '759'}, {'action_type': 'post_engagement', 'value': '4907'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'comment', 'value': '66'}, {'action_type': 'onsite_web_app_purchase', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '154'}, {'action_type': 'photo_view', 'value': '2719'}, {'action_type': 'offsite_content_view_add_meta_leads', 'value': '4'}, {'action_type': 'lead', 'value': '4'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '48'}, {'action_type': 'onsite_conversion.purchase', 'value': '2'}, {'action_type': 'offsite_search_add_meta_leads', 'value': '4'}, {'action_type': 'onsite_conversion.messaging_user_depth_5_message_send', 'value': '9'}, {'action_type': 'onsite_web_lead', 'value': '4'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '479'}, {'action_type': 'post_interaction_gross', 'value': '363'}, {'action_type': 'like', 'value': '48'}, {'action_type': 'onsite_web_purchase', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '505'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '85'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '4'}, {'action_type': 'post_reaction', 'value': '294'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}]",579.0,4.0,4.0,12.0,2.0,1825.0,2.0,4955.0,759.0,4907.0,1.0,66.0,2.0,154.0,2719.0,4.0,4.0,48.0,2.0,4.0,9.0,4.0,2.0,479.0,363.0,48.0,2.0,505.0,85.0,4.0,294.0,1.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225235991430162,[engagement post ảnh_20.5] DMX_xayep,120225235991440162,engagement_DMX_20.5,120225235991450162,engagement_DMX_20.5,19232201,1140382,642280,55325,4.851445,347.62225,16864.7006,29943.639846,1.775522,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '295'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '10'}, {'action_type': 'link_click', 'value': '4065'}, {'action_type': 'page_engagement', 'value': '30985'}, {'action_type': 'landing_page_view', 'value': '3'}, {'action_type': 'omni_landing_page_view', 'value': '3'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '382'}, {'action_type': 'post_engagement', 'value': '30898'}, {'action_type': 'onsite_conversion.post_save', 'value': '25'}, {'action_type': 'comment', 'value': '288'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '28'}, {'action_type': 'photo_view', 'value': '23696'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '4'}, {'action_type': 'post', 'value': '25'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '282'}, {'action_type': 'post_interaction_gross', 'value': '3137'}, {'action_type': 'like', 'value': '87'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '293'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '20'}, {'action_type': 'post_reaction', 'value': '2799'}]",295.0,0.0,0.0,10.0,0.0,4065.0,0.0,30985.0,382.0,30898.0,25.0,288.0,0.0,28.0,23696.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,282.0,3137.0,87.0,0.0,293.0,20.0,0.0,2799.0,0.0,3.0,3.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225238754200162,[Reach_20.5] DMX_xayep,120225238754220162,Reach_dmx_xayep_Minh,120225238754210162,Quảng cáo Mức độ nhận biết mới,18088524,3766271,3500317,7223,0.191781,2504.295168,4802.767512,5167.68167,1.07598,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '16'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '1'}, {'action_type': 'link_click', 'value': '684'}, {'action_type': 'page_engagement', 'value': '3373'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '177'}, {'action_type': 'post_engagement', 'value': '3370'}, {'action_type': 'onsite_conversion.post_save', 'value': '9'}, {'action_type': 'comment', 'value': '4'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '1'}, {'action_type': 'photo_view', 'value': '2039'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '16'}, {'action_type': 'post_interaction_gross', 'value': '647'}, {'action_type': 'like', 'value': '3'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '16'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '3'}, {'action_type': 'post_reaction', 'value': '633'}]",16.0,0.0,0.0,1.0,0.0,684.0,0.0,3373.0,177.0,3370.0,9.0,4.0,0.0,1.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,647.0,3.0,0.0,16.0,3.0,0.0,633.0,0.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225231832600162,[Engagement mess_20.5] DMX_Xayep,120225460654900162,Nhóm quảng cáo Lượt tương tác mới - Bản sao 2,120225460654910162,Quảng cáo Lượt tương tác mới,4540008,58994,50111,3124,5.295454,1453.267606,76957.114283,90599.030153,1.177266,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '221'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '9'}, {'action_type': 'link_click', 'value': '497'}, {'action_type': 'page_engagement', 'value': '1820'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '249'}, {'action_type': 'post_engagement', 'value': '1809'}, {'action_type': 'onsite_conversion.post_save', 'value': '3'}, {'action_type': 'comment', 'value': '31'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '38'}, {'action_type': 'photo_view', 'value': '1151'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '6'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '198'}, {'action_type': 'post_interaction_gross', 'value': '161'}, {'action_type': 'like', 'value': '11'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '215'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '21'}, {'action_type': 'post_reaction', 'value': '127'}]",221.0,0.0,0.0,9.0,0.0,497.0,0.0,1820.0,249.0,1809.0,3.0,31.0,0.0,38.0,1151.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,198.0,161.0,11.0,0.0,215.0,21.0,0.0,127.0,0.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225721951900162,[reach_27.5] DMX_epcham,120225721951960162,reach dmx 27.5,120225721951970162,Quảng cáo Mức độ nhận biết mới,8543533,2182295,2127758,3431,0.15722,2490.099971,3914.930383,4015.274763,1.025631,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '29'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '18'}, {'action_type': 'link_click', 'value': '1849'}, {'action_type': 'page_engagement', 'value': '2219'}, {'action_type': 'landing_page_view', 'value': '2'}, {'action_type': 'omni_landing_page_view', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '596'}, {'action_type': 'post_engagement', 'value': '2217'}, {'action_type': 'onsite_conversion.post_save', 'value': '2'}, {'action_type': 'comment', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '7'}, {'action_type': 'photo_view', 'value': '73'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_user_depth_5_message_send', 'value': '1'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '29'}, {'action_type': 'post_interaction_gross', 'value': '295'}, {'action_type': 'like', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '29'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '6'}, {'action_type': 'post_reaction', 'value': '290'}]",29.0,0.0,0.0,18.0,0.0,1849.0,0.0,2219.0,596.0,2217.0,2.0,2.0,0.0,7.0,73.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,29.0,295.0,2.0,0.0,29.0,6.0,0.0,290.0,0.0,2.0,2.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225727900030162,[engagement post ảnh_27.5] DMX_epcham,120225727900040162,Nhóm quảng cáo Lượt tương tác mới,120225727900020162,Quảng cáo Lượt tương tác mới,9217304,479652,330169,10304,2.148224,894.536491,19216.648737,27916.927392,1.452747,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '135'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '38'}, {'action_type': 'link_click', 'value': '2576'}, {'action_type': 'page_engagement', 'value': '6930'}, {'action_type': 'landing_page_view', 'value': '96'}, {'action_type': 'omni_landing_page_view', 'value': '96'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '606'}, {'action_type': 'post_engagement', 'value': '6923'}, {'action_type': 'onsite_conversion.post_save', 'value': '5'}, {'action_type': 'comment', 'value': '102'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '20'}, {'action_type': 'photo_view', 'value': '137'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '2'}, {'action_type': 'post', 'value': '24'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '128'}, {'action_type': 'post_interaction_gross', 'value': '4210'}, {'action_type': 'like', 'value': '7'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '135'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '12'}, {'action_type': 'post_reaction', 'value': '4079'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}]",135.0,0.0,0.0,38.0,0.0,2576.0,0.0,6930.0,606.0,6923.0,5.0,102.0,0.0,20.0,137.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,128.0,4210.0,7.0,0.0,135.0,12.0,0.0,4079.0,1.0,96.0,96.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120225776474080162,[Engagement mess_28.5] DMX_epcham,120225776474090162,Nhóm quảng cáo Lượt tương tác mới,120225776474100162,engagement mess 27.5 DMX,8799609,86546,46955,3526,4.074134,2495.634997,101675.5136,187405.153871,1.843169,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '368'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '18'}, {'action_type': 'link_click', 'value': '1173'}, {'action_type': 'page_engagement', 'value': '1463'}, {'action_type': 'landing_page_view', 'value': '45'}, {'action_type': 'omni_landing_page_view', 'value': '45'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '573'}, {'action_type': 'post_engagement', 'value': '1450'}, {'action_type': 'onsite_conversion.post_save', 'value': '5'}, {'action_type': 'comment', 'value': '28'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '87'}, {'action_type': 'photo_view', 'value': '96'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '37'}, {'action_type': 'onsite_conversion.messaging_user_depth_5_message_send', 'value': '6'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '286'}, {'action_type': 'post_interaction_gross', 'value': '181'}, {'action_type': 'like', 'value': '13'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '326'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '47'}, {'action_type': 'post_reaction', 'value': '148'}]",368.0,0.0,0.0,18.0,0.0,1173.0,0.0,1463.0,573.0,1450.0,5.0,28.0,0.0,87.0,96.0,0.0,0.0,37.0,0.0,0.0,6.0,0.0,0.0,286.0,181.0,13.0,0.0,326.0,47.0,0.0,148.0,0.0,45.0,45.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120226944477360162,[engagement mes_13/6] DMX_noicomdien,120226944478110162,[engagement mes_13/6] DMX_noicomdien,120226944478240162,[engagement mes_13/6] DMX_noicomdien,5701166,64067,27807,4215,6.57905,1352.589798,88987.559898,205026.288345,2.303988,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '401'}, {'action_type': 'onsite_conversion.lead', 'value': '1'}, {'action_type': 'offsite_complete_registration_add_meta_leads', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '10'}, {'action_type': 'omni_purchase', 'value': '1'}, {'action_type': 'link_click', 'value': '1037'}, {'action_type': 'onsite_app_purchase', 'value': '1'}, {'action_type': 'page_engagement', 'value': '2478'}, {'action_type': 'landing_page_view', 'value': '1'}, {'action_type': 'omni_landing_page_view', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '538'}, {'action_type': 'post_engagement', 'value': '2471'}, {'action_type': 'onsite_conversion.post_save', 'value': '4'}, {'action_type': 'comment', 'value': '34'}, {'action_type': 'onsite_web_app_purchase', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '144'}, {'action_type': 'photo_view', 'value': '1246'}, {'action_type': 'offsite_content_view_add_meta_leads', 'value': '1'}, {'action_type': 'lead', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '60'}, {'action_type': 'onsite_conversion.purchase', 'value': '1'}, {'action_type': 'offsite_search_add_meta_leads', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_user_depth_5_message_send', 'value': '11'}, {'action_type': 'onsite_web_lead', 'value': '1'}, {'action_type': 'post', 'value': '4'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '351'}, {'action_type': 'post_interaction_gross', 'value': '188'}, {'action_type': 'like', 'value': '7'}, {'action_type': 'onsite_web_purchase', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '359'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '60'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '1'}, {'action_type': 'post_reaction', 'value': '146'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}]",401.0,1.0,1.0,10.0,1.0,1037.0,1.0,2478.0,538.0,2471.0,4.0,34.0,1.0,144.0,1246.0,1.0,1.0,60.0,1.0,1.0,11.0,1.0,4.0,351.0,188.0,7.0,1.0,359.0,60.0,1.0,146.0,1.0,1.0,1.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120226950186580162,[engagement post ảnh_13/6] DMX_noicomdien,120226950187190162,[engagement post ảnh_13/6] DMX_noicomdien,120226950187670162,[engagement post ảnh_13/6] DMX_noicomdien,6074115,377956,232367,25812,6.829366,235.321362,16070.957995,26140.179113,1.626548,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '164'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '5'}, {'action_type': 'link_click', 'value': '2607'}, {'action_type': 'page_engagement', 'value': '15104'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '205'}, {'action_type': 'post_engagement', 'value': '15081'}, {'action_type': 'onsite_conversion.post_save', 'value': '9'}, {'action_type': 'comment', 'value': '127'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '20'}, {'action_type': 'photo_view', 'value': '10382'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '1'}, {'action_type': 'post', 'value': '11'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '162'}, {'action_type': 'post_interaction_gross', 'value': '2092'}, {'action_type': 'like', 'value': '23'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '164'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '5'}, {'action_type': 'post_reaction', 'value': '1945'}]",164.0,0.0,0.0,5.0,0.0,2607.0,0.0,15104.0,205.0,15081.0,9.0,127.0,0.0,20.0,10382.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,162.0,2092.0,23.0,0.0,164.0,5.0,0.0,1945.0,0.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120226951666010162,[reach_13/6] DMX_noicomdien,120226951666260162,[reach_13/6] DMX_noicomdien,120226951666850162,[reach_13/6] DMX_noicomdien,8502248,2049021,1829284,5800,0.283062,1465.904828,4149.41965,4647.855664,1.120122,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '27'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '6'}, {'action_type': 'link_click', 'value': '593'}, {'action_type': 'page_engagement', 'value': '2644'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '135'}, {'action_type': 'post_engagement', 'value': '2638'}, {'action_type': 'onsite_conversion.post_save', 'value': '4'}, {'action_type': 'comment', 'value': '7'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '2'}, {'action_type': 'photo_view', 'value': '1591'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '27'}, {'action_type': 'post_interaction_gross', 'value': '454'}, {'action_type': 'like', 'value': '6'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '27'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '3'}, {'action_type': 'post_reaction', 'value': '441'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}]",27.0,0.0,0.0,6.0,0.0,593.0,0.0,2644.0,135.0,2638.0,4.0,7.0,0.0,2.0,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,454.0,6.0,0.0,27.0,3.0,0.0,441.0,1.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120227476620210162,[egm mess 20/6] DMX_ncd,120227476620220162,[egm mess 20/6] DMX_ncd,120227476620830162,[egm mess 20/6] DMX_ncd,481101,3987,2896,275,6.897417,1749.458182,120667.419112,166126.035912,1.376727,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '18'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '1'}, {'action_type': 'link_click', 'value': '50'}, {'action_type': 'page_engagement', 'value': '135'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '29'}, {'action_type': 'post_engagement', 'value': '135'}, {'action_type': 'comment', 'value': '4'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '8'}, {'action_type': 'photo_view', 'value': '66'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '10'}, {'action_type': 'onsite_conversion.messaging_user_depth_5_message_send', 'value': '3'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '7'}, {'action_type': 'post_interaction_gross', 'value': '19'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '8'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '3'}, {'action_type': 'post_reaction', 'value': '15'}]",18.0,0.0,0.0,1.0,0.0,50.0,0.0,135.0,29.0,135.0,0.0,4.0,0.0,8.0,66.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,7.0,19.0,0.0,0.0,8.0,3.0,0.0,15.0,0.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120227477705550162,[egm post_20/6] DMX_ncd,120227477705560162,[egm post_20/6] DMX_ncd,120227477705570162,[egm post_20/6] DMX_ncd,407391,13673,11139,1305,9.544357,312.177011,29795.289988,36573.390789,1.227489,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '8'}, {'action_type': 'link_click', 'value': '47'}, {'action_type': 'page_engagement', 'value': '775'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '6'}, {'action_type': 'post_engagement', 'value': '774'}, {'action_type': 'comment', 'value': '12'}, {'action_type': 'photo_view', 'value': '364'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '8'}, {'action_type': 'post_interaction_gross', 'value': '363'}, {'action_type': 'like', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '8'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '2'}, {'action_type': 'post_reaction', 'value': '350'}]",8.0,0.0,0.0,0.0,0.0,47.0,0.0,775.0,6.0,774.0,0.0,12.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,363.0,1.0,0.0,8.0,2.0,0.0,350.0,0.0,0.0,0.0
2025-06-01,2025-08-31,2429599430634905,Sunhouse Group Ads,120227478437930162,[reach_20/6] DMX_ncd,120227478437960162,[reach_20/6] DMX_ncd,120227478437970162,[reach_20/6] DMX_ncd,3250818,739590,674878,1725,0.233237,1884.532174,4395.432605,4816.897276,1.095887,"[{'action_type': 'onsite_conversion.total_messaging_connection', 'value': '8'}, {'action_type': 'onsite_conversion.messaging_block', 'value': '2'}, {'action_type': 'link_click', 'value': '112'}, {'action_type': 'page_engagement', 'value': '677'}, {'action_type': 'onsite_conversion.messaging_welcome_message_view', 'value': '35'}, {'action_type': 'post_engagement', 'value': '676'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_user_depth_2_message_send', 'value': '4'}, {'action_type': 'photo_view', 'value': '369'}, {'action_type': 'onsite_conversion.messaging_user_depth_3_message_send', 'value': '2'}, {'action_type': 'onsite_conversion.messaging_first_reply', 'value': '8'}, {'action_type': 'post_interaction_gross', 'value': '195'}, {'action_type': 'like', 'value': '1'}, {'action_type': 'onsite_conversion.messaging_conversation_started_7d', 'value': '8'}, {'action_type': 'onsite_conversion.messaging_conversation_replied_7d', 'value': '3'}, {'action_type': 'post_reaction', 'value': '194'}]",8.0,0.0,0.0,2.0,0.0,112.0,0.0,677.0,35.0,676.0,0.0,1.0,0.0,4.0,369.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,195.0,1.0,0.0,8.0,3.0,0.0,194.0,0.0,0.0,0.0
